,battFast_adap,battFast_aggr,battSlow_throt
658,0.965290579966,0.965290579966,1.0
659,0.95928286465,0.95928286465,0.99401562778
660,0.969252380744,0.969252380744,1.0
661,0.966737642861,0.966737642861,0.997495035911
662,0.976737642861,0.976737642861,1.0
663,0.986737642861,0.986737642861,1.0
664,0.986670512591,0.986670512591,0.999933130705
665,0.996670512591,0.996670512591,1.0
666,1.0,1.0,1.0
667,1.0,1.0,1.0
668,1.0,1.0,1.0
669,1.0,1.0,1.0
670,1.0,1.0,1.0
671,1.0,1.0,1.0
672,1.0,1.0,1.0
673,1.0,1.0,1.0
674,1.0,1.0,1.0
675,1.0,1.0,1.0
676,1.0,1.0,1.0
677,1.0,1.0,1.0
678,1.0,1.0,1.0
679,1.0,1.0,1.0
680,0.992426590789,0.992426590789,0.999111981739
681,0.984291609395,0.984291609395,0.997817275511
682,0.976161925075,0.976161925075,0.99652718767
683,0.967948743336,0.967948743336,0.995176222404
684,0.975708938539,0.975708938539,1.0
685,0.985369882227,0.985369882227,1.0
686,0.979634803058,0.979634803058,0.994287868561
687,0.973165087923,0.973165087923,0.994142171449
688,0.967056153293,0.967056153293,0.988057982637
689,0.973746022136,0.973746022136,0.994747851481
690,0.980272275668,0.980272275668,1.0
691,0.973234113702,0.973234113702,0.999489275421
692,0.979854100921,0.979854100921,1.0
693,0.98652862589,0.98652862589,1.0
694,0.981610232644,0.981610232644,0.995101714423
695,0.97742703415,0.97742703415,0.990935622613
696,0.984068357697,0.984068357697,0.997576946159
697,0.990726733103,0.990726733103,1.0
698,0.986819967405,0.986819967405,0.996109214844
699,0.982988637587,0.982988637587,0.99229356118
700,0.978003283536,0.978003283536,0.987328610489
701,0.97243866423,0.97243866423,0.98178677153
702,0.96644376107,0.96644376107,0.975816417029
